a,r,b
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'n = 2', 'output': '2', 'explanation': 'There are two ways to climb to the top.\n1. 1 step + 1 step\n2. 2 steps'}, {'id': 2, 'input': 'n = 3', 'output': '3', 'explanation': 'There are three ways to climb to the top.\n1. 1 step + 1 step + 1 step\n2. 1 step + 2 steps\n3. 2 steps + 1 step'}], topics: [Dynamic Programming, Math, Memoization], problem_statement: You are climbing a staircase. It takes n steps to reach the top.

Each time you can either climb 1 or 2 steps. In how many distinct ways can you climb to the top?, title: Climbing Stairs, constraints: [1 <= n <= 45]})",[:HAS_DIFFICULTY],(:Difficulty {level: Easy})
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'n = 2', 'output': '2', 'explanation': 'There are two ways to climb to the top.\n1. 1 step + 1 step\n2. 2 steps'}, {'id': 2, 'input': 'n = 3', 'output': '3', 'explanation': 'There are three ways to climb to the top.\n1. 1 step + 1 step + 1 step\n2. 1 step + 2 steps\n3. 2 steps + 1 step'}], topics: [Dynamic Programming, Math, Memoization], problem_statement: You are climbing a staircase. It takes n steps to reach the top.

Each time you can either climb 1 or 2 steps. In how many distinct ways can you climb to the top?, title: Climbing Stairs, constraints: [1 <= n <= 45]})",[:HAS_SOLUTION],"(:Solution {code: class Solution {
public:
    int climbStairs(int n) {
        if (n <= 1) return 1;
        int a[n+1];
        a[0] = 1, a[1] = 1;
        for(int i = 2; i <= n; i++){
            a[i] = a[i-2] + a[i-1];
        }
        return a[n];
    }
};, language: C++, approach: Dynamic Programming (Tabulation)})"
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'n = 2', 'output': '2', 'explanation': 'There are two ways to climb to the top.\n1. 1 step + 1 step\n2. 2 steps'}, {'id': 2, 'input': 'n = 3', 'output': '3', 'explanation': 'There are three ways to climb to the top.\n1. 1 step + 1 step + 1 step\n2. 1 step + 2 steps\n3. 2 steps + 1 step'}], topics: [Dynamic Programming, Math, Memoization], problem_statement: You are climbing a staircase. It takes n steps to reach the top.

Each time you can either climb 1 or 2 steps. In how many distinct ways can you climb to the top?, title: Climbing Stairs, constraints: [1 <= n <= 45]})",[:HAS_SOLUTION],"(:Solution {code: class Solution:
    def climbStairs(self, n: int) -> int:
        if n <= 1: return 1
        arr = [1, 1]
        for i in range(2, n+1):
            arr.append(arr[i-2] + arr[i-1])
        return arr[n], language: Python, approach: Dynamic Programming (Tabulation)})"
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'n = 2', 'output': '2', 'explanation': 'There are two ways to climb to the top.\n1. 1 step + 1 step\n2. 2 steps'}, {'id': 2, 'input': 'n = 3', 'output': '3', 'explanation': 'There are three ways to climb to the top.\n1. 1 step + 1 step + 1 step\n2. 1 step + 2 steps\n3. 2 steps + 1 step'}], topics: [Dynamic Programming, Math, Memoization], problem_statement: You are climbing a staircase. It takes n steps to reach the top.

Each time you can either climb 1 or 2 steps. In how many distinct ways can you climb to the top?, title: Climbing Stairs, constraints: [1 <= n <= 45]})",[:HAS_SOLUTION],"(:Solution {code: class Solution {
public:
    int climbStairs(int n) {
        if(n <= 2) return n;
        int a = 1, b = 2, ans;
        for(int i = 3; i <= n; i++){
            ans = a + b;
            a = b;
            b = ans;
        }
        return ans;
    }
};, language: C++, approach: Dynamic Programming (Space Optimized)})"
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'n = 2', 'output': '2', 'explanation': 'There are two ways to climb to the top.\n1. 1 step + 1 step\n2. 2 steps'}, {'id': 2, 'input': 'n = 3', 'output': '3', 'explanation': 'There are three ways to climb to the top.\n1. 1 step + 1 step + 1 step\n2. 1 step + 2 steps\n3. 2 steps + 1 step'}], topics: [Dynamic Programming, Math, Memoization], problem_statement: You are climbing a staircase. It takes n steps to reach the top.

Each time you can either climb 1 or 2 steps. In how many distinct ways can you climb to the top?, title: Climbing Stairs, constraints: [1 <= n <= 45]})",[:HAS_SOLUTION],"(:Solution {code: class Solution:
    def climbStairs(self, n: int) -> int:
        if(n <= 2): return n
        a, b, ans = 1, 2, 0
        for i in range(3, n+1):
            ans = a + b
            a = b
            b = ans
        return ans, language: Python, approach: Dynamic Programming (Space Optimized)})"
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'n = 2', 'output': '2', 'explanation': 'There are two ways to climb to the top.\n1. 1 step + 1 step\n2. 2 steps'}, {'id': 2, 'input': 'n = 3', 'output': '3', 'explanation': 'There are three ways to climb to the top.\n1. 1 step + 1 step + 1 step\n2. 1 step + 2 steps\n3. 2 steps + 1 step'}], topics: [Dynamic Programming, Math, Memoization], problem_statement: You are climbing a staircase. It takes n steps to reach the top.

Each time you can either climb 1 or 2 steps. In how many distinct ways can you climb to the top?, title: Climbing Stairs, constraints: [1 <= n <= 45]})",[:SIMILAR_TOPIC {shared_topic: Math}],"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'n = 5, start = 0', 'output': '8', 'explanation': 'Array nums is equal to [0, 2, 4, 6, 8] where (0 ^ 2 ^ 4 ^ 6 ^ 8) = 8.\nWhere ""^"" corresponds to bitwise XOR operator.'}, {'id': 2, 'input': 'n = 4, start = 3', 'output': '8', 'explanation': 'Array nums is equal to [3, 5, 7, 9] where (3 ^ 5 ^ 7 ^ 9) = 8.'}], topics: [Bit Manipulation, Array, Math], problem_statement: You are given an integer n and an integer start.

Define an array nums where nums[i] = start + 2 * i (0-indexed) and n == nums.length.

Return the bitwise XOR of all elements of nums., title: XOR Operation in an Array, constraints: [1 <= n <= 1000, 0 <= start <= 1000, n == nums.length]})"
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'n = 2', 'output': '2', 'explanation': 'There are two ways to climb to the top.\n1. 1 step + 1 step\n2. 2 steps'}, {'id': 2, 'input': 'n = 3', 'output': '3', 'explanation': 'There are three ways to climb to the top.\n1. 1 step + 1 step + 1 step\n2. 1 step + 2 steps\n3. 2 steps + 1 step'}], topics: [Dynamic Programming, Math, Memoization], problem_statement: You are climbing a staircase. It takes n steps to reach the top.

Each time you can either climb 1 or 2 steps. In how many distinct ways can you climb to the top?, title: Climbing Stairs, constraints: [1 <= n <= 45]})",[:SIMILAR_TOPIC {shared_topic: Dynamic Programming}],"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'n = 2', 'output': '[0,1,1]', 'explanation': '0 --> 0\n1 --> 1\n2 --> 10'}, {'id': 2, 'input': 'n = 5', 'output': '[0,1,1,2,1,2]', 'explanation': '0 --> 0\n1 --> 1\n2 --> 10\n3 --> 11\n4 --> 100\n5 --> 101'}], topics: [Dynamic Programming, Bit Manipulation], problem_statement: Given an integer n, return an array ans of length n + 1 such that for each i (0 <= i <= n), ans[i] is the number of 1's in the binary representation of i., title: Counting Bits, constraints: [0 <= n <= 10^5]})"
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'n = 2', 'output': '2', 'explanation': 'There are two ways to climb to the top.\n1. 1 step + 1 step\n2. 2 steps'}, {'id': 2, 'input': 'n = 3', 'output': '3', 'explanation': 'There are three ways to climb to the top.\n1. 1 step + 1 step + 1 step\n2. 1 step + 2 steps\n3. 2 steps + 1 step'}], topics: [Dynamic Programming, Math, Memoization], problem_statement: You are climbing a staircase. It takes n steps to reach the top.

Each time you can either climb 1 or 2 steps. In how many distinct ways can you climb to the top?, title: Climbing Stairs, constraints: [1 <= n <= 45]})",[:SIMILAR_TOPIC {shared_topic: Dynamic Programming}],"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'cost = [10,15,20]', 'output': '15', 'explanation': 'You will start at index 1.\n- Pay 15 and climb two steps to reach the top.\nThe total cost is 15.'}, {'id': 2, 'input': 'cost = [1,100,1,1,1,100,1,1,100,1]', 'output': '6', 'explanation': 'You will start at index 0.\n- Pay 1 and climb two steps to reach index 2.\n- Pay 1 and climb two steps to reach index 4.\n- Pay 1 and climb two steps to reach index 6.\n- Pay 1 and climb one step to reach index 7.\n- Pay 1 and climb two steps to reach index 9.\n- Pay 1 and climb one step to reach the top.\nThe total cost is 6.'}], topics: [Dynamic Programming, Array], problem_statement: You are given an integer array cost where cost[i] is the cost of ith step on a staircase. Once you pay the cost, you can either climb one or two steps.

You can either start from the step with index 0, or the step with index 1.

Return the minimum cost to reach the top of the floor., title: Min Cost Climbing Stairs, constraints: [2 <= cost.length <= 1000, 0 <= cost[i] <= 999]})"
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'n = 2', 'output': '2', 'explanation': 'There are two ways to climb to the top.\n1. 1 step + 1 step\n2. 2 steps'}, {'id': 2, 'input': 'n = 3', 'output': '3', 'explanation': 'There are three ways to climb to the top.\n1. 1 step + 1 step + 1 step\n2. 1 step + 2 steps\n3. 2 steps + 1 step'}], topics: [Dynamic Programming, Math, Memoization], problem_statement: You are climbing a staircase. It takes n steps to reach the top.

Each time you can either climb 1 or 2 steps. In how many distinct ways can you climb to the top?, title: Climbing Stairs, constraints: [1 <= n <= 45]})",[:SIMILAR_TOPIC {shared_topic: Dynamic Programming}],"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'rowIndex = 3', 'output': '[1,3,3,1]'}, {'id': 2, 'input': 'rowIndex = 0', 'output': '[1]'}, {'id': 3, 'input': 'rowIndex = 1', 'output': '[1,1]'}], topics: [Array, Dynamic Programming], problem_statement: Given an integer rowIndex, return the rowIndexth (0-indexed) row of the Pascal's triangle.

In Pascal's triangle, each number is the sum of the two numbers directly above it., title: Pascal's Triangle II, constraints: [0 <= rowIndex <= 33]})"
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'n = 2', 'output': '2', 'explanation': 'There are two ways to climb to the top.\n1. 1 step + 1 step\n2. 2 steps'}, {'id': 2, 'input': 'n = 3', 'output': '3', 'explanation': 'There are three ways to climb to the top.\n1. 1 step + 1 step + 1 step\n2. 1 step + 2 steps\n3. 2 steps + 1 step'}], topics: [Dynamic Programming, Math, Memoization], problem_statement: You are climbing a staircase. It takes n steps to reach the top.

Each time you can either climb 1 or 2 steps. In how many distinct ways can you climb to the top?, title: Climbing Stairs, constraints: [1 <= n <= 45]})",[:SIMILAR_TOPIC {shared_topic: Math}],"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'head = [1,0,1]', 'output': '5', 'explanation': '(101) in base 2 = (5) in base 10'}, {'id': 2, 'input': 'head = [0]', 'output': '0', 'explanation': None}], topics: [Linked List, Bit Manipulation, Math], problem_statement: Given head which is a reference node to a singly-linked list. The value of each node in the linked list is either 0 or 1. The linked list holds the binary representation of a number.

Return the decimal value of the number in the linked list.

The most significant bit is at the head of the linked list., title: Convert Binary Number in a Linked List to Integer, constraints: [The Linked List is not empty., Number of nodes will not exceed 30., Each node's value is either 0 or 1.]})"
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'n = 2', 'output': '2', 'explanation': 'There are two ways to climb to the top.\n1. 1 step + 1 step\n2. 2 steps'}, {'id': 2, 'input': 'n = 3', 'output': '3', 'explanation': 'There are three ways to climb to the top.\n1. 1 step + 1 step + 1 step\n2. 1 step + 2 steps\n3. 2 steps + 1 step'}], topics: [Dynamic Programming, Math, Memoization], problem_statement: You are climbing a staircase. It takes n steps to reach the top.

Each time you can either climb 1 or 2 steps. In how many distinct ways can you climb to the top?, title: Climbing Stairs, constraints: [1 <= n <= 45]})",[:SIMILAR_TOPIC {shared_topic: Math}],"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'num = 38', 'output': '2', 'explanation': 'The process is\n38 --> 3 + 8 --> 11\n11 --> 1 + 1 --> 2 \nSince 2 has only one digit, return it.'}, {'id': 2, 'input': 'num = 0', 'output': '0', 'explanation': None}], topics: [Math], problem_statement: Given an integer num, repeatedly add all its digits until the result has only one digit, and return it., title: Add Digits, constraints: [0 <= num <= 2^31 - 1]})"
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'n = 2', 'output': '2', 'explanation': 'There are two ways to climb to the top.\n1. 1 step + 1 step\n2. 2 steps'}, {'id': 2, 'input': 'n = 3', 'output': '3', 'explanation': 'There are three ways to climb to the top.\n1. 1 step + 1 step + 1 step\n2. 1 step + 2 steps\n3. 2 steps + 1 step'}], topics: [Dynamic Programming, Math, Memoization], problem_statement: You are climbing a staircase. It takes n steps to reach the top.

Each time you can either climb 1 or 2 steps. In how many distinct ways can you climb to the top?, title: Climbing Stairs, constraints: [1 <= n <= 45]})",[:SIMILAR_TOPIC {shared_topic: Math}],"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'n = 19', 'output': 'true', 'explanation': '1^2 + 9^2 = 82\n8^2 + 2^2 = 68\n6^2 + 8^2 = 100\n1^2 + 0^2 + 0^2 = 1'}, {'id': 2, 'input': 'n = 2', 'output': 'false', 'explanation': None}], topics: [Math], problem_statement: Write an algorithm to determine if a number n is happy.

A happy number is a number defined by the following process:
- Starting with any positive integer, replace the number by the sum of the squares of its digits.
- Repeat the process until the number equals 1 (where it will stay), or it loops endlessly in a cycle which does not include 1.
- Those numbers for which this process ends in 1 are happy.

Return true if n is a happy number, and false if not., title: Happy Number, constraints: [1 <= n <= 2^31 - 1]})"
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'n = 2', 'output': '2', 'explanation': 'There are two ways to climb to the top.\n1. 1 step + 1 step\n2. 2 steps'}, {'id': 2, 'input': 'n = 3', 'output': '3', 'explanation': 'There are three ways to climb to the top.\n1. 1 step + 1 step + 1 step\n2. 1 step + 2 steps\n3. 2 steps + 1 step'}], topics: [Dynamic Programming, Math, Memoization], problem_statement: You are climbing a staircase. It takes n steps to reach the top.

Each time you can either climb 1 or 2 steps. In how many distinct ways can you climb to the top?, title: Climbing Stairs, constraints: [1 <= n <= 45]})",[:SIMILAR_TOPIC {shared_topic: Dynamic Programming}],"(:Problem {difficulty: Hard, examples: [{'id': 1, 'input': 'k = 2, prices = [2,4,1]', 'output': '2', 'explanation': 'Buy on day 1 (price = 2) and sell on day 2 (price = 4), profit = 4-2 = 2.'}, {'id': 2, 'input': 'k = 2, prices = [3,2,6,5,0,3]', 'output': '7', 'explanation': 'Buy on day 2 (price = 2) and sell on day 3 (price = 6), profit = 6-2 = 4. Then buy on day 5 (price = 0) and sell on day 6 (price = 3), profit = 3-0 = 3.'}], topics: [Dynamic Programming], problem_statement: You are given an integer array prices where prices[i] is the price of a given stock on the ith day, and an integer k.

Find the maximum profit you can achieve. You may complete at most k transactions: i.e. you may buy at most k times and sell at most k times.

Note: You may not engage in multiple transactions simultaneously (i.e., you must sell the stock before you buy again)., title: Best Time to Buy and Sell Stock IV, constraints: [1 <= k <= 100, 1 <= prices.length <= 1000, 0 <= prices[i] <= 1000]})"
